,GDP,"Median Age, as of 1 July (years)","Rate of Natural Change (per 1,000 population)","Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),"Crude Death Rate (deaths per 1,000 population)","Infant Mortality Rate (infant deaths per 1,000 live births)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)"
8141,611,16.87,28.237,35.143,4.523,2.028,6.906,40.802,52.846,144.266,313.637,150.287,268.266
13513,6369,37.581,-1.078,10.116,1.376,0.654,11.194,8.186,9.157,27.544,99.317,39.528,89.15
4349,4151,28.015,16.243,20.572,2.829,1.342,4.329,16.646,19.853,41.491,99.266,38.562,78.036
13592,40723,42.926,0.911,7.204,1.135,0.545,6.293,5.356,6.215,13.642,44.935,14.57,38.042
3559,3791,16.238,30.337,38.2,5.209,2.306,7.863,48.208,69.261,154.924,332.41,150.306,272.705
15883,16787,35.089,5.89,11.984,1.58,0.769,6.094,4.953,6.128,22.347,88.414,31.548,81.565
18806,13622,31.567,5.205,13.794,1.876,0.898,8.589,8.825,10.272,36.114,124.554,50.67,113.958
9879,5972,34.761,-0.181,11.7,1.575,0.745,11.881,8.052,9.031,26.486,150.795,51.121,142.385
15962,31990,41.468,-3.906,7.178,1.179,0.566,11.084,12.554,14.577,36.786,115.848,43.635,100.781
20544,66408,37.238,4.684,11.5,1.599,0.771,6.816,2.812,3.384,16.409,60.203,26.437,56.321
14935,52062,42.935,-0.022,9.451,1.474,0.713,9.473,2.495,3.026,13.224,59.34,21.913,55.917
9958,6842,31.925,5.497,11.941,1.66,0.762,6.444,16.409,18.755,50.81,143.552,59.086,124.68
16041,32246,32.791,4.081,11.379,1.38,0.665,7.298,10.109,11.901,59.144,181.028,89.912,169.131
10037,28692,33.302,8.978,11.454,1.797,0.873,2.476,5.385,6.473,15.023,62.952,19.446,55.988
8220,2734,26.666,12.184,17.48,1.95,0.918,5.296,20.375,25.24,57.432,144.035,58.021,118.319
16120,20004,39.207,1.669,10.783,1.634,0.788,9.114,10.405,11.497,37.615,112.475,50.215,100.496
11459,8567,40.426,-6.325,9.165,1.495,0.722,15.49,1.868,2.552,24.442,159.448,63.157,156.699
15014,50598,41.042,0.558,10.048,1.588,0.77,9.49,2.867,3.416,14.801,64.661,24.911,60.824
18095,6096,25.557,11.51,17.763,1.989,0.947,6.253,10.075,12.042,68.513,216.953,101.634,204.997
5455,1367,17.527,26.748,36.071,4.895,2.061,9.323,54.396,82.504,193.982,352.458,162.656,274.401
8299,3562,28.774,5.976,12.332,1.398,0.659,6.356,20.658,24.595,54.97,156.041,57.468,131.251
13671,6818,42.045,-7.587,8.278,1.346,0.646,15.865,4.871,5.574,12.748,90.244,22.585,84.646
4981,7348,23.638,16.139,23.036,2.754,1.261,6.897,33.1,44.065,116.706,287.823,134.822,248.815
18964,8857,33.209,4.51,12.649,1.626,0.777,8.139,12.256,13.825,55.482,170.103,80.288,156.567
11538,12505,44.685,-14.525,8.352,1.59,0.761,22.877,5.262,6.331,34.01,179.374,68.208,172.85
5534,825,16.724,26.29,34.952,4.665,1.983,8.662,47.42,79.384,181.497,349.366,158.714,278.503
1900,293,15.766,26.798,34.109,4.98,2.173,7.311,36.349,50.91,166.399,331.866,163.181,276.224
9010,1771,26.805,12.184,18.969,2.322,1.084,6.785,20.586,24.489,84.446,203.685,93.449,175.783
3638,1584,17.551,26.127,34.352,4.383,1.934,8.225,45.751,65.862,158.826,356.758,167.184,302.082
20070,56794,40.381,2.044,9.814,1.466,0.706,7.77,3.936,4.584,20.308,66.699,28.624,61.63
3717,496,14.705,31.341,42.344,5.918,2.445,11.003,67.698,96.883,243.768,485.09,258.783,418.106
3796,743,15.058,31.027,43.184,6.215,2.415,12.157,65.466,102.71,281.046,475.549,247.268,383.467
19043,15604,35.246,4.556,11.755,1.539,0.744,7.199,4.947,5.824,26.749,97.772,41.253,91.29
7430,12970,38.467,0.165,7.544,1.175,0.548,7.379,5.88,7.122,26.218,88.71,34.843,79.638
19122,6644,31.171,6.512,13.921,1.692,0.808,7.409,10.886,12.887,61.589,162.683,81.25,149.006
1979,1300,20.261,20.359,28.887,3.912,1.752,8.528,45.518,58.495,125.469,290.539,119.095,238.316
3954,660,15.556,32.385,41.737,6.106,2.614,9.352,50.0,75.178,190.857,360.534,170.428,289.185
18174,13090,33.336,4.573,11.686,1.522,0.735,7.113,6.845,7.998,32.626,106.615,47.152,98.12
13750,17318,43.951,-4.867,8.415,1.445,0.697,13.282,3.044,3.922,12.136,74.824,22.636,70.614
10116,29535,38.071,3.052,10.023,1.311,0.632,6.971,2.128,2.498,9.388,55.115,17.677,52.321
12328,65713,41.291,1.459,10.917,1.719,0.831,9.458,2.933,3.312,11.952,61.209,20.391,57.629
2058,3666,23.98,12.949,21.911,2.757,1.213,8.962,36.506,51.42,154.618,314.525,151.01,260.358
16594,8086,31.947,4.357,13.278,1.588,0.764,8.921,11.42,13.571,45.231,154.923,62.403,140.666
16673,10573,27.426,12.043,18.111,2.247,1.06,6.068,24.351,30.19,70.321,169.282,75.641,141.88
19201,6413,27.926,11.733,16.583,2.003,0.958,4.85,10.69,12.661,48.723,118.677,56.364,104.178
4428,4504,24.064,15.717,22.107,2.878,1.368,6.39,16.016,18.951,38.45,175.872,52.193,158.607
18253,4883,26.683,7.63,15.803,1.785,0.852,8.173,9.895,11.777,74.404,213.111,112.031,201.217
4033,11264,20.821,21.157,29.865,4.17,1.84,8.708,53.785,71.677,153.801,342.828,152.018,283.145
2137,647,18.413,21.699,28.426,3.786,1.726,6.727,28.578,37.586,116.183,252.652,116.961,211.465
12407,29344,41.63,-1.572,10.118,1.676,0.808,11.69,1.781,2.316,20.573,102.808,41.778,100.061
5060,4056,21.619,11.759,23.642,2.785,1.238,11.883,39.165,52.541,198.805,498.063,285.044,464.596
2216,1098,18.647,25.338,31.835,4.063,1.832,6.497,31.889,43.724,125.427,265.953,123.195,220.092
20781,5341,26.977,10.896,19.131,2.462,1.147,8.235,17.931,21.686,56.56,229.337,84.13,209.256
12565,50818,42.561,-1.633,8.518,1.397,0.676,10.151,1.628,2.015,15.813,64.232,27.105,61.823
15093,42330,41.795,1.015,10.416,1.788,0.866,9.401,3.298,3.914,16.112,71.682,27.522,67.383
4112,10282,21.666,19.496,26.803,3.46,1.606,7.307,29.465,39.75,103.781,279.297,122.978,243.633
5771,846,16.986,25.559,32.696,4.586,2.021,7.137,27.994,43.891,148.789,315.302,153.764,267.062
10195,6770,36.462,-2.098,13.099,2.063,0.984,15.197,8.157,9.113,39.036,176.213,72.075,167.922
15172,48398,44.848,-3.223,9.139,1.533,0.74,12.362,2.961,3.523,14.703,71.682,25.375,67.678
5850,2369,20.524,19.495,27.08,3.507,1.558,7.585,31.602,42.582,146.108,298.736,146.908,250.29
13908,20876,45.101,-5.229,7.431,1.373,0.661,12.66,3.367,3.89,15.077,74.051,26.423,69.871
16752,10477,31.226,7.674,15.616,1.986,0.953,7.942,12.287,15.038,36.424,140.529,50.776,126.072
18332,4880,22.418,14.094,20.861,2.354,1.11,6.767,19.825,23.833,78.627,246.759,111.47,225.569
5929,1346,17.849,23.985,33.855,4.303,1.781,9.87,63.929,92.407,204.967,365.931,166.389,281.224
6008,857,18.444,22.014,30.611,3.925,1.701,8.597,50.096,72.866,170.666,373.161,175.421,313.653
19438,18745,25.713,10.135,19.897,2.369,1.112,9.762,23.559,28.757,89.325,290.35,127.762,267.074
16910,1673,23.247,14.666,23.146,2.773,1.249,8.48,43.375,56.675,132.565,293.635,126.183,241.185
18411,2969,23.778,15.446,20.85,2.34,1.111,5.404,12.763,15.391,50.543,182.55,71.949,166.999
11696,18983,42.264,-6.059,9.46,1.581,0.761,15.519,3.313,4.023,20.699,138.514,43.793,134.144
12723,73981,36.154,5.528,12.256,1.725,0.833,6.728,1.416,1.898,11.791,52.021,20.557,49.689
8378,2466,27.903,7.193,16.267,2.011,0.918,9.074,26.308,32.41,79.643,240.983,93.639,211.29
9089,4691,29.634,6.606,16.196,2.153,1.004,9.59,17.729,21.379,67.275,222.441,90.775,201.714
10274,6696,20.013,22.602,27.035,3.445,1.621,4.433,17.646,21.463,52.744,165.657,61.417,144.043
12802,102217,37.953,4.871,11.472,1.763,0.852,6.601,2.451,2.831,13.255,54.155,21.674,51.021
10353,55359,29.091,13.855,19.337,2.948,1.427,5.482,2.928,3.621,11.588,54.799,18.297,50.806
14066,33740,47.265,-3.768,6.903,1.29,0.623,10.671,2.136,2.557,10.669,47.541,17.688,44.523
16989,5870,31.296,2.744,11.531,1.34,0.643,8.787,11.279,13.5,48.787,189.572,77.551,176.485
7825,33911,48.745,-6.079,6.576,1.305,0.632,12.655,1.681,2.347,12.237,51.032,20.507,48.138
10432,4666,23.716,17.659,21.616,2.786,1.33,3.957,12.444,14.419,33.171,119.407,39.619,104.51
6956,11591,29.538,10.57,20.754,3.047,1.45,10.184,8.495,9.504,44.944,204.723,86.527,195.514
2295,2255,19.382,19.71,27.54,3.296,1.501,7.83,27.971,38.593,145.86,386.174,206.505,356.201
21334,1673,22.034,20.541,26.723,3.271,1.472,6.182,37.427,46.994,99.186,228.375,90.859,183.808
10511,38123,39.129,7.121,9.727,2.092,1.013,2.606,6.681,7.985,14.716,54.977,15.197,46.587
7035,1435,23.819,17.348,23.326,2.946,1.405,5.978,13.128,14.802,46.528,194.884,81.249,181.449
13039,21482,43.758,-6.567,8.912,1.585,0.76,15.479,2.849,3.687,29.939,143.466,60.758,139.132
10590,3589,28.516,5.719,14.576,2.08,0.997,8.857,6.158,7.203,26.116,117.432,41.224,109.306
5139,1187,22.19,11.709,25.778,2.98,1.257,14.069,69.014,89.069,253.077,544.608,311.143,492.034
6087,735,18.111,22.364,30.996,4.016,1.754,8.632,57.311,74.813,158.711,344.489,152.415,282.38
4507,6026,26.508,11.344,17.298,2.402,1.136,5.954,9.12,11.026,47.659,170.502,72.495,158.774
13118,24032,43.828,-7.992,9.504,1.622,0.783,17.496,2.808,3.311,33.967,161.382,71.98,157.653
15330,127673,38.994,3.307,10.349,1.393,0.675,7.042,3.051,3.636,11.302,57.415,18.691,53.498
2374,522,19.125,23.796,30.595,3.791,1.714,6.799,32.585,44.852,127.973,273.228,125.218,225.952
2453,523,16.983,25.677,32.611,3.849,1.777,6.934,27.51,38.158,130.19,355.492,180.872,324.476
9247,13108,30.328,9.573,15.016,1.787,0.854,5.443,5.909,6.96,25.953,117.601,44.277,110.159
8536,15097,31.307,10.861,13.638,1.678,0.809,2.777,6.005,7.064,16.87,54.581,19.388,47.017
6166,858,15.165,32.266,41.217,5.867,2.486,8.951,53.277,84.886,185.574,352.362,158.085,277.738
14224,32912,39.293,1.828,9.115,1.199,0.576,7.287,5.341,5.959,10.929,44.45,12.515,38.292
21413,4859,25.472,10.605,18.524,2.672,1.202,7.919,24.51,29.906,113.368,294.064,143.484,265.587
6245,2328,17.713,25.75,32.953,4.342,1.96,7.203,43.566,58.653,112.765,261.253,97.984,207.704
2532,9112,37.142,0.52,10.21,1.393,0.669,9.69,13.391,15.828,45.564,160.314,67.532,145.437
18490,10948,29.387,7.931,14.636,1.803,0.866,6.705,10.887,12.881,56.097,158.506,76.622,145.256
