,"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years)
8141,62.879,59.766,66.213
13513,76.833,74.502,79.472
4349,77.129,75.853,78.457
13592,83.552,81.43,85.838
3559,61.929,59.351,64.541
15883,79.236,76.507,81.645
18806,76.064,72.851,79.277
9879,73.372,67.866,78.447
15962,74.992,72.145,77.681
20544,83.579,81.708,85.453
14935,82.412,80.15,84.6
9958,73.488,70.55,76.249
16041,74.358,70.757,77.843
10037,79.246,78.242,80.497
8220,73.698,71.514,76.012
16120,77.706,75.677,79.581
11459,73.246,68.09,78.384
15014,82.293,80.16,84.367
18095,70.962,67.721,74.685
5455,59.954,58.265,61.676
8299,72.229,70.57,74.152
13671,75.293,73.126,77.498
4981,65.913,63.328,68.399
18964,73.425,70.296,76.596
11538,71.528,68.278,75.08
5534,59.766,57.953,61.505
1900,61.977,60.077,63.868
9010,69.896,67.117,72.622
3638,60.958,59.392,62.556
20070,82.847,80.868,84.797
3717,54.477,52.258,56.829
3796,52.997,51.3,54.769
19043,79.519,77.156,81.877
7430,78.587,75.963,81.343
19122,73.659,70.319,77.143
1979,63.68,61.522,66.061
3954,59.743,57.516,62.05
18174,77.32,74.762,80.036
13750,79.236,76.415,82.0
10116,81.889,80.068,83.673
12328,81.882,79.958,83.802
2058,62.859,60.336,65.503
16594,72.981,69.875,76.451
16673,74.17,71.044,77.536
19201,77.894,75.313,80.481
4428,70.159,67.869,72.557
18253,71.475,66.837,75.813
4033,61.19,59.432,63.261
2137,66.604,64.457,68.678
12407,79.155,74.983,82.987
5060,56.36,52.647,60.599
2216,65.645,62.613,68.903
20781,68.312,66.465,70.239
12565,82.351,79.792,84.886
15093,83.229,80.356,85.967
4112,65.694,63.361,68.359
5771,62.906,61.481,64.344
10195,71.587,66.76,76.461
15172,80.989,78.512,83.487
5850,63.945,61.805,66.13
13908,80.614,78.022,83.317
16752,75.335,72.588,78.298
18332,68.674,65.697,71.754
5929,58.985,57.643,60.238
6008,59.861,57.671,61.929
19438,65.989,62.778,69.399
16910,63.728,60.892,66.695
18411,70.728,68.461,73.157
11696,74.958,71.552,78.309
12723,82.815,81.382,84.288
8378,67.744,66.257,69.384
9089,68.25,66.181,70.437
10274,71.336,69.162,73.362
12802,82.716,81.017,84.412
10353,82.601,80.625,84.508
14066,84.057,81.974,86.0
16989,70.629,68.532,72.737
7825,84.82,81.782,87.832
10432,74.215,72.12,76.675
6956,69.489,65.776,72.995
2295,62.055,59.579,64.686
21334,67.661,65.731,69.386
10511,80.264,78.878,82.752
7035,70.484,66.218,74.929
13039,75.927,71.49,80.088
10590,74.416,72.237,76.597
5139,53.036,50.319,55.923
6087,61.1,59.796,62.392
4507,72.151,69.736,74.759
13118,74.293,69.492,79.13
15330,82.591,80.445,84.77
2374,65.23,62.97,67.617
2453,62.898,59.58,66.326
9247,76.26,73.955,78.799
8536,80.839,80.065,81.844
6166,59.417,58.068,60.832
14224,83.704,81.644,85.703
21413,65.146,63.546,67.092
6245,64.691,62.965,66.447
2532,73.975,70.963,77.128
18490,74.832,71.547,78.161
7904,72.667,68.079,77.375
14303,76.845,73.48,80.262
4586,74.973,72.896,77.177
2690,59.625,56.529,62.688
9326,67.256,64.18,70.478
5218,58.059,54.592,61.704
21571,64.014,60.52,67.841
8615,70.484,68.608,72.364
15488,82.451,80.944,83.904
20623,83.006,81.251,84.726
18569,74.615,71.613,77.556
6324,62.08,60.816,63.401
6403,53.633,53.295,53.968
14382,73.888,71.733,76.16
13197,83.393,81.718,85.055
10669,73.935,72.356,76.046
8694,66.431,64.134,68.918
21729,65.362,62.2,69.314
18648,76.826,73.726,80.091
20939,65.958,63.378,69.172
19517,70.475,67.645,73.571
19596,73.385,71.332,75.495
9405,72.187,70.218,74.174
11775,76.996,73.233,80.796
14461,82.24,79.308,84.93
17226,79.72,75.578,83.897
10748,81.559,80.626,83.101
11933,74.117,70.724,77.619
2848,67.129,64.813,69.244
22203,72.598,70.146,75.333
14540,83.433,82.036,84.733
10827,77.905,76.666,79.525
6561,67.913,65.473,70.2
14619,74.137,71.276,76.975
2927,71.738,68.237,76.042
6640,60.411,59.115,61.693
9484,84.133,81.981,86.295
12091,75.33,71.929,78.813
14698,82.133,79.626,84.616
21018,70.742,69.294,72.358
3006,56.107,54.072,58.233
5297,61.48,58.597,64.181
3085,55.567,54.036,57.047
14777,83.912,81.2,86.549
8773,76.61,72.851,80.23
17384,72.027,68.682,75.666
17463,71.294,68.005,74.887
17621,68.972,66.693,71.731
4665,65.578,63.048,68.184
19675,70.289,67.189,73.577
13276,83.505,81.902,85.092
15567,84.255,82.484,85.932
7114,71.288,69.189,73.518
9563,79.68,75.473,83.929
9642,69.056,67.435,70.815
6719,61.588,60.946,62.227
22361,71.27,68.581,74.123
17779,74.708,71.307,78.153
4744,74.263,71.367,77.408
7193,69.41,65.916,72.916
22440,64.854,61.136,69.391
3164,63.638,61.486,65.703
12170,68.564,63.525,73.904
11143,79.196,77.72,81.412
13355,82.156,80.439,83.834
19754,78.0,74.147,81.685
7272,71.674,69.032,74.293
21097,70.492,68.316,73.067
11222,63.72,60.493,67.222
3322,61.803,59.058,64.51
3401,59.391,56.428,62.094
