,"Median Age, as of 1 July (years)","Rate of Natural Change (per 1,000 population)","Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),"Crude Death Rate (deaths per 1,000 population)","Infant Mortality Rate (infant deaths per 1,000 live births)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)"
0,15.766,26.798,34.109,4.98,2.173,7.311,36.349,50.91,166.399,182.37,150.184,331.866,366.298,297.211,163.181,182.724,143.684,276.224,309.539,243.136
79,20.261,20.359,28.887,3.912,1.752,8.528,45.518,58.495,125.469,139.304,111.407,290.539,328.808,248.587,119.095,136.8,100.769,238.316,275.396,197.783
158,23.98,12.949,21.911,2.757,1.213,8.962,36.506,51.42,154.618,177.798,130.599,314.525,360.036,267.514,151.01,177.793,123.833,260.358,303.327,216.771
237,18.413,21.699,28.426,3.786,1.726,6.727,28.578,37.586,116.183,133.152,98.759,252.652,288.303,218.526,116.961,135.452,98.922,211.465,244.289,180.807
316,18.647,25.338,31.835,4.063,1.832,6.497,31.889,43.724,125.427,153.693,95.49,265.953,318.315,210.908,123.195,154.357,90.956,220.092,268.213,170.578
395,19.382,19.71,27.54,3.296,1.501,7.83,27.971,38.593,145.86,160.757,130.809,386.174,436.775,332.531,206.505,236.993,174.715,356.201,407.928,301.538
474,19.125,23.796,30.595,3.791,1.714,6.799,32.585,44.852,127.973,147.786,107.427,273.228,311.952,232.73,125.218,146.971,102.933,225.952,261.605,189.181
553,16.983,25.677,32.611,3.849,1.777,6.934,27.51,38.158,130.19,152.081,110.198,355.492,423.184,289.046,180.872,222.274,139.884,324.476,393.686,256.969
632,37.142,0.52,10.21,1.393,0.669,9.69,13.391,15.828,45.564,57.555,33.133,160.314,205.926,112.175,67.532,90.137,43.899,145.437,190.48,98.032
711,16.607,30.006,32.972,4.367,2.126,2.966,3.739,4.555,30.884,43.172,21.327,138.867,183.496,96.076,57.879,81.381,38.3,133.604,178.124,90.978
790,16.903,27.51,36.121,4.561,2.024,8.611,52.807,69.627,166.137,192.669,139.517,379.546,449.933,309.048,179.992,224.634,136.091,324.724,397.263,253.029
