,"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years)
0,61.977,60.077,63.868
79,63.68,61.522,66.061
158,62.859,60.336,65.503
237,66.604,64.457,68.678
316,65.645,62.613,68.903
395,62.055,59.579,64.686
474,65.23,62.97,67.617
553,62.898,59.58,66.326
632,73.975,70.963,77.128
711,75.049,71.861,78.522
790,59.625,56.529,62.688
869,82.612,79.739,85.4
948,67.129,64.813,69.244
1027,71.738,68.237,76.042
1106,56.107,54.072,58.233
1185,55.567,54.036,57.047
1264,63.638,61.486,65.703
1343,66.782,64.72,68.93
1422,61.803,59.058,64.51
1501,59.391,56.428,62.094
1580,61.929,59.351,64.541
1659,60.958,59.392,62.556
1738,54.477,52.258,56.829
1817,52.997,51.3,54.769
1896,63.053,61.513,64.617
1975,59.743,57.516,62.05
2054,61.19,59.432,63.261
2133,65.694,63.361,68.359
2212,68.794,66.054,71.938
2291,77.129,75.853,78.457
2370,70.159,67.869,72.557
2449,72.151,69.736,74.759
2528,74.973,72.896,77.177
2607,65.578,63.048,68.184
2686,74.263,71.367,77.408
2765,70.976,69.319,73.097
2844,65.913,63.328,68.399
2923,56.36,52.647,60.599
3002,53.036,50.319,55.923
3081,58.059,54.592,61.704
3160,61.48,58.597,64.181
3239,59.954,58.265,61.676
3318,59.766,57.953,61.505
3397,74.722,70.29,79.011
3476,58.916,57.686,60.282
3555,62.906,61.481,64.344
3634,63.945,61.805,66.13
3713,58.985,57.643,60.238
3792,59.861,57.671,61.929
3871,61.1,59.796,62.392
3950,59.417,58.068,60.832
4029,64.691,62.965,66.447
4108,62.08,60.816,63.401
4187,53.633,53.295,53.968
4266,77.214,74.429,80.885
4345,67.913,65.473,70.2
4424,60.411,59.115,61.693
4503,61.588,60.946,62.227
4582,69.489,65.776,72.995
4661,70.484,66.218,74.929
4740,71.288,69.189,73.518
4819,69.41,65.916,72.916
4898,71.674,69.032,74.293
4977,78.587,75.963,81.343
5056,84.315,81.754,86.893
5135,85.377,82.753,87.98
5214,81.267,78.128,84.539
5293,73.578,70.973,76.146
5372,84.82,81.782,87.832
5451,72.667,68.079,77.375
5530,84.024,80.695,87.101
5609,62.879,59.766,66.213
5688,73.698,71.514,76.012
5767,72.229,70.57,74.152
5846,67.744,66.257,69.384
5925,74.556,71.93,77.453
6004,80.839,80.065,81.844
6083,70.484,68.608,72.364
6162,66.431,64.134,68.918
6241,76.61,72.851,80.23
6320,74.551,72.509,76.791
6399,69.896,67.117,72.622
6478,68.25,66.181,70.437
6557,68.999,66.94,71.164
6636,76.26,73.955,78.799
6715,67.256,64.18,70.478
6794,72.187,70.218,74.174
6873,84.133,81.981,86.295
6952,79.68,75.473,83.929
